item,game,store_page,kind,label,definition,your_verdict,note
R0001,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Present-day setting,"A contemporary, present-day world.",,
R0002,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Online multiplayer,Players can play together over the internet.,,
R0003,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Guilds or clans,Players can form persistent groups with shared goals or rewards.,,
R0004,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Strategy gameplay,"Planning, positioning, resource allocation or tactical decisions are a substantial part of play.",,
R0005,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Daily rewards or quests,Incentives for logging in or playing every day.,,
R0006,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Single-player mode,The game can be played by one person alone.,,
R0007,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Gacha or loot boxes,"Randomised reward draws such as gacha pulls or loot boxes, often purchasable.",,
R0008,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,3D graphics,Gameplay is rendered primarily with three-dimensional graphics.,,
R0009,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Inventory system,"The player manages a persistent collection of carried items, equipment, resources, or consumables through an inventory or comparable item-management system.",,
R0010,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Subscription,A recurring payment is required for access or core benefits.,,
R0011,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Casual-friendly,Easy to pick up and suited to short or relaxed play sessions.,,
R0012,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Minimal or no story,The game has little or no authored plot; play is not organised around a story.,,
R0013,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Loot drops,"Defeated enemies, chests or activities reward items or equipment of varying value.",,
R0014,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,primary genre,Board Game,A shared board or tabletop-style state and discrete rules structure play.,,
R0015,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Player-created protagonist,"The player creates their own protagonist, choosing appearance or attributes.",,
R0016,MONOPOLY GO!,https://play.google.com/store/apps/details?id=com.scopely.monopolygo,attribute,Cartoon style,Western animation-inspired style with exaggerated features.,,
R0017,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,attribute,Puzzle-solving gameplay,"Logic, pattern, spatial or physics problems the player must work out are a substantial part of play.",,
R0018,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,primary genre,Merge,Combining matching items into higher-tier items is the principal progression loop.,,
R0019,Mystery Town: Merge Games,https://play.google.com/store/apps/details?id=com.cedargames.mysterytown,primary genre,Match-3,Creating runs or groups of matching pieces through constrained board moves is the main loop.,,
